siteID,plotID,siteName,plotType,longitude,latitude,elevation,Year,Landsat_NPP
CPER,CPER_071,Central Plains Experimental Range NEON,tower,-104.74564,40.819728,1645.17,2017,2171.571428571429
CPER,CPER_071,Central Plains Experimental Range NEON,tower,-104.74564,40.819728,1645.17,2018,1771.4285714285713
CPER,CPER_071,Central Plains Experimental Range NEON,tower,-104.74564,40.819728,1645.17,2019,1972.571428571429
CPER,CPER_071,Central Plains Experimental Range NEON,tower,-104.74564,40.819728,1645.17,2013,1699.2857142857144
CPER,CPER_071,Central Plains Experimental Range NEON,tower,-104.74564,40.819728,1645.17,2014,2595.642857142857
CPER,CPER_071,Central Plains Experimental Range NEON,tower,-104.74564,40.819728,1645.17,2015,2351.714285714286
CPER,CPER_071,Central Plains Experimental Range NEON,tower,-104.74564,40.819728,1645.17,2020,1369.0714285714287
CPER,CPER_072,Central Plains Experimental Range NEON,tower,-104.746715,40.817821,1654.08,2016,1755.8915662650604
CPER,CPER_072,Central Plains Experimental Range NEON,tower,-104.746715,40.817821,1654.08,2017,1947.2530120481929
CPER,CPER_072,Central Plains Experimental Range NEON,tower,-104.746715,40.817821,1654.08,2018,1779.1807228915661
CPER,CPER_072,Central Plains Experimental Range NEON,tower,-104.746715,40.817821,1654.08,2019,1781.096385542169
CPER,CPER_072,Central Plains Experimental Range NEON,tower,-104.746715,40.817821,1654.08,2013,1480.8915662650604
CPER,CPER_072,Central Plains Experimental Range NEON,tower,-104.746715,40.817821,1654.08,2014,2422.1084337349403
CPER,CPER_072,Central Plains Experimental Range NEON,tower,-104.746715,40.817821,1654.08,2015,2312.879518072289
CPER,CPER_072,Central Plains Experimental Range NEON,tower,-104.746715,40.817821,1654.08,2020,1329.1084337349398
CPER,CPER_073,Central Plains Experimental Range NEON,tower,-104.744585,40.819188,1644.42,2016,1955
CPER,CPER_073,Central Plains Experimental Range NEON,tower,-104.744585,40.819188,1644.42,2017,2161
CPER,CPER_073,Central Plains Experimental Range NEON,tower,-104.744585,40.819188,1644.42,2018,1774
CPER,CPER_073,Central Plains Experimental Range NEON,tower,-104.744585,40.819188,1644.42,2019,1055
CPER,CPER_073,Central Plains Experimental Range NEON,tower,-104.744585,40.819188,1644.42,2013,1618
CPER,CPER_073,Central Plains Experimental Range NEON,tower,-104.744585,40.819188,1644.42,2014,2702
CPER,CPER_073,Central Plains Experimental Range NEON,tower,-104.744585,40.819188,1644.42,2015,2370
CPER,CPER_073,Central Plains Experimental Range NEON,tower,-104.744585,40.819188,1644.42,2020,569
CPER,CPER_074,Central Plains Experimental Range NEON,tower,-104.746711,40.820001,1646.12,2016,1967.9712230215825
CPER,CPER_074,Central Plains Experimental Range NEON,tower,-104.746711,40.820001,1646.12,2017,2220.9352517985612
CPER,CPER_074,Central Plains Experimental Range NEON,tower,-104.746711,40.820001,1646.12,2018,1838.7841726618703
CPER,CPER_074,Central Plains Experimental Range NEON,tower,-104.746711,40.820001,1646.12,2019,2017.187050359712
CPER,CPER_074,Central Plains Experimental Range NEON,tower,-104.746711,40.820001,1646.12,2013,1693.4676258992806
CPER,CPER_074,Central Plains Experimental Range NEON,tower,-104.746711,40.820001,1646.12,2014,2846.230215827338
